#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 1984 201034 1864 72 181268 22934
5048 242.745 1043 112798 967 42 95413 16857
5040 199.383 2080 199461 1916 70 177671 26023
5048 242.745 1241 122049 1054 85 99437 22120
5040 199.383 2251 217223 2119 81 195711 29711
5048 242.745 1160 132255 1008 72 108897 22951
5040 199.383 1648 183620 1492 94 161364 22930
5048 242.745 972 100163 898 52 85275 14536
5040 199.383 2055 234063 1940 95 221215 31214
5048 242.745 1364 139731 1190 71 115994 23468
5040 199.383 2725 254852 2597 68 254479 27736
5048 242.745 1811 161850 1629 63 140511 21613
5040 199.383 2366 238176 2286 84 230658 27660
5048 242.745 1207 122323 1109 72 100175 21661
5040 199.383 1965 199436 1797 88 176019 25800
5048 242.745 1210 121957 1099 58 102790 18850
5040 199.383 2396 221587 2308 50 211781 19794
5048 242.745 1382 135635 1257 26 124978 10009
5040 199.383 2064 220005 1904 76 213224 22267
5048 242.745 1152 129179 1046 51 110961 17677
5040 199.383 1974 220088 1838 107 201052 28091
5048 242.745 1264 131644 1106 52 112414 18839
5040 199.383 1950 201112 1832 56 183594 24127
5048 242.745 1078 115181 930 50 100984 13631
5040 199.383 1794 186495 1583 103 162126 25467
5048 242.745 1011 119867 906 39 101139 17945
5040 199.383 1746 190581 1620 73 168245 24442
5048 242.745 1048 113677 929 33 95006 18270
5040 199.383 1897 189358 1716 91 167584 22937
5048 242.745 866 98203 829 12 86076 11752
5040 199.383 1532 157880 1440 80 137698 19880
5048 242.745 1002 98619 877 37 83159 15398
5040 199.383 2001 182332 1835 96 163268 19763
5048 242.745 1107 118341 995 36 103985 13863
5040 199.383 1791 176384 1632 90 156885 19297
5048 242.745 1073 106305 1020 23 92420 13619
5040 199.383 1893 194017 1770 65 175313 19675
5048 242.745 1052 116026 944 52 102047 13576
5040 199.383 1670 179194 1656 54 157000 21431
5048 242.745 955 104012 887 54 86865 16611
5040 199.383 2231 206100 2049 76 190979 21234
5048 242.745 1014 104375 901 43 89308 14575
5040 199.383 1804 176213 1649 50 156212 20380
5048 242.745 1089 115498 951 55 100850 14680
5040 199.383 1550 176286 1450 58 160150 15849
